index,status,r_final,r_min,r_max,eps_rms,qnorm_err,T_rot_drift,mass_consumed
1,OK,12.16263026150153,9.940284604606706,13.670667587802456,0.024472951252198623,1.1102230246251565e-16,0.0,0.0
0,OK,12.540744982069986,9.999159362344429,13.61163165196547,0.022241717115685164,1.1102230246251565e-16,0.0,0.0
3,OK,12.3716736163539,9.997803282080708,13.483281671898741,0.045330623871525894,1.1102230246251565e-16,0.0,0.0
2,OK,11.433666581285065,10.000154678844547,12.957692510905547,0.030927082620659595,1.1102230246251565e-16,0.0,0.0
4,OK,12.557962074576299,9.678824802189105,13.395913239158226,0.003855587180712433,1.1102230246251565e-16,0.0,0.0
5,OK,13.941348343216681,9.960526122622985,14.364632487539568,0.005838563312727071,1.1102230246251565e-16,0.0,0.0
6,OK,13.738602149902595,9.984695199594936,14.428109709511437,0.019923936292656284,1.1102230246251565e-16,0.0,0.0
7,OK,11.645634034642185,9.763953176605167,13.736845484368482,0.03227439721528175,1.1102230246251565e-16,0.0,0.0
8,OK,14.600303440011876,9.931745409921193,15.047506386479148,0.009637841919859511,1.1102230246251565e-16,0.0,0.0
9,OK,14.040245823843247,9.996197192066383,14.556404649111862,0.03194194119890894,1.1102230246251565e-16,0.0,0.0
11,OK,12.664526110233474,9.996907313072171,13.647156412179411,0.02999029805413742,1.1102230246251565e-16,0.0,0.0
10,OK,15.832551421228477,9.991147048906342,15.833187616630306,0.015219277883702892,1.1102230246251565e-16,0.0,0.0
12,OK,13.28229521661054,9.998449197891158,14.10918353661112,0.03131133830111242,1.1102230246251565e-16,0.0,0.0
13,OK,13.028785435820316,9.993011600948792,13.986016722024864,0.004519400440766513,1.1102230246251565e-16,0.0,0.0
14,OK,12.438381700835272,9.98929837594448,13.4941210387962,0.01637200800189246,1.1102230246251565e-16,0.0,0.0
15,OK,13.754700659515505,9.981731787353912,14.452535244321147,0.003851250246801524,1.1102230246251565e-16,0.0,0.0
